NAME	LAT	LNG	CAPACITY	STARS	LANGUAGES
Ca La Padrina Carmen	42.5675	1.601269	40	?	CA
La Cabana - Espiolets	42.578208	1.64619	169	?	CA,ES,FR,EN
El Cyrano de Bergerac	42.533943	1.580331	30	?	CA,ES,FR,EN
La Marmita	42.531777	1.698922	60	?	CA,ES,FR,EN
La Vaqueria	42.531777	1.698922	30	?	CA,ES,FR,EN
El Teatre Del Vi	42.531777	1.698922	8	?	CA,ES,FR,EN
Granja Camps Elisis	42.540705	1.733794	100	?	CA,ES,FR,EN
Niu Nit	42.61656	1.538343	70	?	CA,ES,FR,EN
La Coma D'Arcalis	42.631982	1.481771	200	?	CA,ES,FR,EN
L'Hortell	42.631851	1.499709	100	?	CA,ES,FR,EN
Cal Mos	42.545832	1.514513	40	?	CA,ES,FR,EN
RÏstic	42.536062	1.491555	250	?	CA,ES,FR,EN
Self Service (Arinsal)	42.573074	1.47071	400	?	CA,ES,FR,EN
Self Service (Pal)	42.536177	1.49161	220	?	CA,ES,FR,EN
Borda Can Toni	42.53797	1.519395	20	?	CA,ES,FR
El Rebost Del Padri	42.506896	1.521099	15	?	CA,ES,FR,EN
Pizzeria Cal Cuba	42.506433	1.516054	20	?	CA,ES,FR,EN
Valor	42.495446	1.498714	30	?	CA,ES,FR
Mes Bo	42.509972	1.531451	40	?	CA,ES,FR
L'Aquari	42.500273	1.517553	50	?	CA,ES
Trevol Verd	42.499751	1.508866	60	?	CA,ES,FR
Can Jovi	42.497732	1.503282	60	?	CA,ES,FR,EN
La Sardana	42.506433	1.530554	30	?	CA,ES
Bar Restaurant-Park Infantil - Serradells	42.499828	1.518549	100	?	CA,ES,FR,EN
Self-Service Punt De Trobada Centre Comercial	42.448035	1.481756	386	?	CA,ES,FR
Bar Restaurant Carmen	42.475836	1.48732	50	?	CA,ES,FR,EN
Restaurant La Toscana (Tropical)	42.512886	1.551229	156	?	CA,ES,FR,EN
Borda Patxeta	42.565977	1.566067	25	5	CA,ES,FR
Cal Bonavida	42.566501	1.600053	40	5	CA,ES,FR,EN
Koy Hermitage	42.575867	1.669719	20	5	CA,ES,FR,EN
La Palmera De La Neu	42.576897	1.667068	55	5	CA,ES,FR,EN
Univers	42.537026	1.582278	50	5	CA,ES,FR,EN
L'Ovella	42.533848	1.587986	120	5	CA,ES,FR,EN
Antic	42.58032	1.518885	90	5	CA,ES,FR,EN
Arrosseria Marisqueria II	42.555629	1.533467	60	5	CA,ES,FR,EN
Rutllan	42.547378	1.513238	200	5	CA,ES,FR,EN
Diana Parc	42.573961	1.482182	100	5	CA,ES,FR,EN
Xalet VerdÏ	42.574907	1.481967	30	5	CA,ES,FR,EN
Borda Jovell	42.536143	1.516434	40	5	CA,ES,FR,EN
L'Estela	42.505165	1.51842	60	5	CA,ES,FR,EN
La Taverna D'Ali	42.506838	1.52995	30	5	CA,ES,FR,EN
Nostrum	42.506762	1.530468	20	5	CA,ES
Monxi El Pirata	42.496386	1.500396	30	5	CA,ES,FR
El Cantabric A Taula	42.465402	1.491233	25	5	CA,ES,FR
Arrosseria - Pi De Migdia	42.568467	1.643345	70	4.5	CA,ES,FR,EN
El Saler	42.580575	1.640753	70	4.5	CA,ES,FR
Del Tarter	42.578793	1.649998	30	4.5	CA,ES,FR,EN
L'Abarset	42.579031	1.649518	43	4.5	CA,ES,FR,EN
L'Avet	42.544102	1.73466	45	4.5	CA,ES,FR,EN
L'Era Del Rossell	42.553602	1.590453	36	4.5	CA,ES,FR,EN
La Caleta	42.577226	1.665361	30	4.5	CA,ES,FR,EN
La Taula Dels Amics	42.565872	1.598074	30	4.5	CA,ES,FR,EN
Restaurant L'Ermita	42.553883	1.590266	30	4.5	CA,ES,FR,EN
La Llar de lÍArtesö - Borda Popaire	42.559522	1.685831	50	4.5	CA,ES,FR,EN
Roc De Les Bruixes - El Forn	42.56593	1.601536	90	4.5	CA,ES,FR,EN
La Taverna de la Iaia	42.576966	1.667457	40	4.5	CA,ES,FR,EN
Coray	42.535188	1.584949	150	4.5	CA,ES,FR,EN
Can Fontcuberta	42.534418	1.582847	50	4.5	CA,ES,FR,EN
Borda Del Tremat	42.534481	1.583163	30	4.5	CA,ES,FR,EN
Restaurant Borda Vella	42.534888	1.579188	50	4.5	CA,ES,EN
El Cresper	42.534682	1.580105	30	4.5	CA,ES,EN
Can Fontbernat	42.534443	1.528782	26	4.5	CA,ES,FR,EN
Caliu D'En Josep	42.536398	1.582723	45	4.5	CA,ES,FR,EN
Confort	42.542145	1.732342	50	4.5	CA,ES,FR,EN
Els Flocs	42.539465	1.733442	70	4.5	CA,ES,FR,EN
Rapid Pasta	42.539198	1.733319	30	4.5	CA,ES,FR
Underground Sports Bar And Grill	42.541683	1.732036	45	4.5	CA,ES,FR,EN
El Provençal	42.539169	1.733372	145	4.5	CA,ES,FR,EN
Kandahar	42.542046	1.731709	160	4.5	CA,ES,FR,EN
Chez Paulo - Restaurant El Pas	42.542951	1.735008	100	4.5	CA,ES,FR,EN
Vodka Bar	42.531712	1.698895	26	4.5	CA,ES,FR,EN
Font Blanca	42.576877	1.517158	55	4.5	CA,ES,FR,EN
El Raco Del Prat De Les Mines	42.601631	1.534695	36	4.5	CA,ES,FR,EN
Pizzeria Coll D'Ordino	42.554074	1.533532	53	4.5	CA,ES,FR,EN
Xalet Bringue	42.61982	1.540039	90	4.5	CA,ES,FR,EN
Braseria La Neu 	42.60023	1.532078	45	4.5	CA,ES,FR,EN
Refugi Les Portelles	42.618265	1.485945	87	4.5	CA,ES,FR,EN
Restaurant L'Ensegur	42.555655	1.533073	30	4.5	CA,ES,FR,EN
La Capricciosa	42.542459	1.517305	15	4.5	CA,ES,EN
Sagardotegi Pub Herri	42.573826	1.482883	60	4.5	
Borda Xica	42.544883	1.513736	20	4.5	CA,ES,FR
Istambul Kebab Pizzeria	42.545472	1.514905	30	4.5	CA,ES,FR,EN
La Taverna De Pal	42.536206	1.49175	80	4.5	CA,ES,FR,EN
L'Eulari De Pal	42.534937	1.524735	55	4.5	CA,ES,FR
Bonet	42.545523	1.476452	30	4.5	CA,ES,FR
