NAME	LAT	LNG	CAPACITY	LANGUAGES
Pyrénées	42.50786464	1.52360442	150	ES,FR,BE,EN,RU,PT,NE,GE
CCA	42.5082516	1.5303474	140	ES,FR,BE,EN,RU,PT,NE,GE
Illa carlemany	42.508705	1.5346843	130	ES,FR,BE,EN,RU,PT,NE,GE
Centre Termoludic Caldea	42.5115949	1.5372319	60	ES,FR,BE,EN,RU,PT,NE,GE
Estasio d’Autobusos d’Andorra	42.5057069	1.5272854	50	ES,FR,BE,EN,RU,PT,NE,GE
Casa	42.5066149	1.5204874	40	ES,FR,BE,EN,RU,PT,NE,GE
Plaça de l’Esglesia	42.5089795	1.54203683	30	ES,FR,BE,EN,RU,PT,NE,GE
Plaça Guillemo	42.5082105	1.5216381	20	ES,FR,BE,EN,RU,PT,NE,GE
