NAME	LAT	LNG	CAPACITY	LANGUAGES
Parking Parking1	42.509722	1.536111	500	CA,ES,FR,EN,PT,RU
Parking Parking2	42.509167	1.5375	500	CA,ES,FR,EN,PT,RU
Parking Parking3	42.509167	1.537222	500	CA,ES,FR,EN,PT,RU
Parking Parking4	42.509167	1.535833	500	CA,ES,FR,EN,PT,RU
Parking Parking5	42.508889	1.533611	500	CA,ES,FR,EN,PT,RU
Parking Parking6	42.510278	1.535556	500	CA,ES,FR,EN,PT,RU
Parking Parking7	42.509167	1.5325	500	CA,ES,FR,EN,PT,RU
Parking Parking8	42.509722	1.5375	500	CA,ES,FR,EN,PT,RU
